system,workload,placement,capacity_type,contrast,applicable,relative_improvement,bands_overlap
lumi,storm,single_device,per_device,causal_only_vs_sequential,True,0.5495,False
lumi,storm,single_device,per_device,full_vs_causal_only,True,-0.0369,True
lumi,storm,single_device,per_device,full_vs_sequential,True,0.4924,False
roihu,storm,single_device,per_device,causal_only_vs_sequential,True,0.5689,False
roihu,storm,single_device,per_device,full_vs_causal_only,True,0.1484,True
roihu,storm,single_device,per_device,full_vs_sequential,True,0.8017,False
lumi,storm,single_device,per_device,causal_only_vs_sequential,True,0.4531,False
lumi,storm,single_device,per_device,full_vs_causal_only,True,-0.0207,True
lumi,storm,single_device,per_device,full_vs_sequential,True,0.423,False
roihu,storm,single_device,per_device,causal_only_vs_sequential,True,0.7345,False
roihu,storm,single_device,per_device,full_vs_causal_only,True,0.0071,True
roihu,storm,single_device,per_device,full_vs_sequential,True,0.7469,False
lumi,supply_chain,single_device,per_device,causal_only_vs_sequential,True,0.744,False
lumi,supply_chain,single_device,per_device,full_vs_causal_only,True,-0.0051,True
lumi,supply_chain,single_device,per_device,full_vs_sequential,True,0.7352,False
roihu,supply_chain,single_device,per_device,causal_only_vs_sequential,True,1.2425,False
roihu,supply_chain,single_device,per_device,full_vs_causal_only,True,0.0702,True
roihu,supply_chain,single_device,per_device,full_vs_sequential,True,1.3999,False
lumi,storm,full_node,node_total,causal_only_vs_sequential,True,0.4724,False
lumi,storm,full_node,node_total,full_vs_causal_only,True,-0.0924,True
lumi,storm,full_node,node_total,full_vs_sequential,True,0.3364,False
roihu,storm,full_node,node_total,causal_only_vs_sequential,True,0.7031,False
roihu,storm,full_node,node_total,full_vs_causal_only,True,0.1013,True
roihu,storm,full_node,node_total,full_vs_sequential,True,0.8757,False
lumi,supply_chain,full_node,node_total,causal_only_vs_sequential,True,0.9506,False
lumi,supply_chain,full_node,node_total,full_vs_causal_only,True,-0.1066,False
lumi,supply_chain,full_node,node_total,full_vs_sequential,True,0.7426,False
roihu,supply_chain,full_node,node_total,causal_only_vs_sequential,True,1.0854,False
roihu,supply_chain,full_node,node_total,full_vs_causal_only,True,0.0062,True
roihu,supply_chain,full_node,node_total,full_vs_sequential,True,1.0983,False
