system,workload,placement,policy,capacity_type,n_replicas,mean,stdev,count,per_replica_min,per_replica_max,source
lumi,storm,single_device,sequential,per_device,1,0.2485,0.0301,10,,,b1_pilot_lumi_result.json
lumi,storm,single_device,naive_concurrent,per_device,1,0.3585,0.0426,10,,,b1_pilot_lumi_result.json
lumi,storm,single_device,barrier,per_device,1,0.4014,0.0452,10,,,b1_pilot_lumi_result.json
lumi,storm,single_device,causal_only,per_device,1,0.3851,0.0419,10,,,b1_pilot_lumi_result.json
lumi,storm,single_device,capability_aware,per_device,1,0.3745,0.0559,10,,,b1_pilot_lumi_result.json
lumi,storm,single_device,queue_aware,per_device,1,0.3881,0.0714,10,,,b1_pilot_lumi_result.json
lumi,storm,single_device,full,per_device,1,0.3709,0.0712,10,,,b1_pilot_lumi_result.json
roihu,storm,single_device,sequential,per_device,1,0.8495,0.1055,10,,,b1_pilot_roihu_result.json
roihu,storm,single_device,naive_concurrent,per_device,1,1.3302,0.2184,10,,,b1_pilot_roihu_result.json
roihu,storm,single_device,barrier,per_device,1,1.3803,0.2077,10,,,b1_pilot_roihu_result.json
roihu,storm,single_device,causal_only,per_device,1,1.3327,0.2735,10,,,b1_pilot_roihu_result.json
roihu,storm,single_device,capability_aware,per_device,1,1.41,0.2413,10,,,b1_pilot_roihu_result.json
roihu,storm,single_device,queue_aware,per_device,1,1.4061,0.2378,10,,,b1_pilot_roihu_result.json
roihu,storm,single_device,full,per_device,1,1.5305,0.2328,10,,,b1_pilot_roihu_result.json
lumi,storm,single_device,sequential,per_device,1,0.2552,0.0265,10,,,b1_study_lumi_storm_result.json
lumi,storm,single_device,naive_concurrent,per_device,1,0.3999,0.055,10,,,b1_study_lumi_storm_result.json
lumi,storm,single_device,barrier,per_device,1,0.3515,0.0448,10,,,b1_study_lumi_storm_result.json
lumi,storm,single_device,causal_only,per_device,1,0.3709,0.0573,10,,,b1_study_lumi_storm_result.json
lumi,storm,single_device,capability_aware,per_device,1,0.3827,0.0707,10,,,b1_study_lumi_storm_result.json
lumi,storm,single_device,queue_aware,per_device,1,0.3796,0.0516,10,,,b1_study_lumi_storm_result.json
lumi,storm,single_device,full,per_device,1,0.3632,0.0489,10,,,b1_study_lumi_storm_result.json
roihu,storm,single_device,sequential,per_device,1,0.8557,0.1283,10,,,b1_study_roihu_storm_result.json
roihu,storm,single_device,naive_concurrent,per_device,1,1.3077,0.1705,10,,,b1_study_roihu_storm_result.json
roihu,storm,single_device,barrier,per_device,1,1.4661,0.2169,10,,,b1_study_roihu_storm_result.json
roihu,storm,single_device,causal_only,per_device,1,1.4842,0.2153,10,,,b1_study_roihu_storm_result.json
roihu,storm,single_device,capability_aware,per_device,1,1.5411,0.273,10,,,b1_study_roihu_storm_result.json
roihu,storm,single_device,queue_aware,per_device,1,1.4205,0.1887,10,,,b1_study_roihu_storm_result.json
roihu,storm,single_device,full,per_device,1,1.4948,0.3015,10,,,b1_study_roihu_storm_result.json
lumi,supply_chain,single_device,sequential,per_device,1,0.2836,0.0369,10,,,b1_study_lumi_supply_chain_result.json
lumi,supply_chain,single_device,naive_concurrent,per_device,1,0.5318,0.0745,10,,,b1_study_lumi_supply_chain_result.json
lumi,supply_chain,single_device,barrier,per_device,1,0.4959,0.0514,10,,,b1_study_lumi_supply_chain_result.json
lumi,supply_chain,single_device,causal_only,per_device,1,0.4946,0.0539,10,,,b1_study_lumi_supply_chain_result.json
lumi,supply_chain,single_device,capability_aware,per_device,1,0.5142,0.0449,10,,,b1_study_lumi_supply_chain_result.json
lumi,supply_chain,single_device,queue_aware,per_device,1,0.4987,0.0583,10,,,b1_study_lumi_supply_chain_result.json
lumi,supply_chain,single_device,full,per_device,1,0.4921,0.0827,10,,,b1_study_lumi_supply_chain_result.json
roihu,supply_chain,single_device,sequential,per_device,1,0.7635,0.0963,10,,,b1_study_roihu_supply_chain_result.json
roihu,supply_chain,single_device,naive_concurrent,per_device,1,1.768,0.2213,10,,,b1_study_roihu_supply_chain_result.json
roihu,supply_chain,single_device,barrier,per_device,1,1.7857,0.3425,10,,,b1_study_roihu_supply_chain_result.json
roihu,supply_chain,single_device,causal_only,per_device,1,1.7121,0.2873,10,,,b1_study_roihu_supply_chain_result.json
roihu,supply_chain,single_device,capability_aware,per_device,1,1.7943,0.2176,10,,,b1_study_roihu_supply_chain_result.json
roihu,supply_chain,single_device,queue_aware,per_device,1,1.6879,0.1847,10,,,b1_study_roihu_supply_chain_result.json
roihu,supply_chain,single_device,full,per_device,1,1.8323,0.2368,10,,,b1_study_roihu_supply_chain_result.json
lumi,storm,full_node,barrier,node_total,8,2.9281,0.164,8,0.328,0.4099,lumi|storm
lumi,storm,full_node,capability_aware,node_total,8,2.9143,0.1905,8,0.2756,0.4267,lumi|storm
lumi,storm,full_node,causal_only,node_total,8,2.9527,0.1614,8,0.2544,0.4106,lumi|storm
lumi,storm,full_node,full,node_total,8,2.6799,0.1162,8,0.2721,0.3571,lumi|storm
lumi,storm,full_node,naive_concurrent,node_total,8,2.8587,0.0821,8,0.3262,0.3989,lumi|storm
lumi,storm,full_node,queue_aware,node_total,8,2.5635,0.1272,8,0.2551,0.3544,lumi|storm
lumi,storm,full_node,sequential,node_total,8,2.0053,0.1124,8,0.2183,0.2882,lumi|storm
roihu,storm,full_node,barrier,node_total,4,6.2603,0.7261,4,1.3534,1.8055,roihu|storm
roihu,storm,full_node,capability_aware,node_total,4,6.1909,0.4956,4,1.3546,1.8339,roihu|storm
roihu,storm,full_node,causal_only,node_total,4,5.6482,0.3668,4,1.298,1.5749,roihu|storm
roihu,storm,full_node,full,node_total,4,6.2203,0.6809,4,1.3931,1.8243,roihu|storm
roihu,storm,full_node,naive_concurrent,node_total,4,5.7376,0.4401,4,1.3297,1.5345,roihu|storm
roihu,storm,full_node,queue_aware,node_total,4,6.0328,0.4584,4,1.4029,1.6609,roihu|storm
roihu,storm,full_node,sequential,node_total,4,3.3163,0.2125,4,0.7644,0.9385,roihu|storm
lumi,supply_chain,full_node,barrier,node_total,8,4.2161,0.1832,8,0.4637,0.5744,lumi|supply_chain
lumi,supply_chain,full_node,capability_aware,node_total,8,4.2473,0.1743,8,0.4787,0.5722,lumi|supply_chain
lumi,supply_chain,full_node,causal_only,node_total,8,4.4557,0.1847,8,0.5229,0.6087,lumi|supply_chain
lumi,supply_chain,full_node,full,node_total,8,3.9806,0.1559,8,0.4386,0.5492,lumi|supply_chain
lumi,supply_chain,full_node,naive_concurrent,node_total,8,4.2755,0.179,8,0.4643,0.6092,lumi|supply_chain
lumi,supply_chain,full_node,queue_aware,node_total,8,4.0278,0.1425,8,0.4522,0.5494,lumi|supply_chain
lumi,supply_chain,full_node,sequential,node_total,8,2.2843,0.1327,8,0.2433,0.323,lumi|supply_chain
roihu,supply_chain,full_node,barrier,node_total,4,7.1217,0.2731,4,1.4936,2.0033,roihu|supply_chain
roihu,supply_chain,full_node,capability_aware,node_total,4,6.8698,0.3674,4,1.6283,1.7582,roihu|supply_chain
roihu,supply_chain,full_node,causal_only,node_total,4,6.5539,0.3302,4,1.4917,1.7318,roihu|supply_chain
roihu,supply_chain,full_node,full,node_total,4,6.5945,0.2955,4,1.5576,1.7148,roihu|supply_chain
roihu,supply_chain,full_node,naive_concurrent,node_total,4,6.6836,0.4545,4,1.5803,1.8186,roihu|supply_chain
roihu,supply_chain,full_node,queue_aware,node_total,4,6.6042,0.3565,4,1.4983,1.7302,roihu|supply_chain
roihu,supply_chain,full_node,sequential,node_total,4,3.1428,0.2443,4,0.7611,0.819,roihu|supply_chain
